gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex	gex_transf	gene_name_unique
NUP42	chr7	23181841	23201011	23194402	23194452	+	0.0	0.0	NUP42_X1
APEH	chr3	49674014	49683971	49674359	49674409	+	177.990358150815	7.4837380642885245	APEH_X1
TMEM41B	chr11	9280654	9314636	9314583	9314633	-	56.6070847466684	5.848174345796987	TMEM41B_X1
SEC61A2	chr10	12129637	12169961	12129693	12129743	+	10.956209950968098	3.579688230953869	SEC61A2_X1
PDE2A	chr11	72576141	72674591	72674400	72674450	-	0.0	0.0	PDE2A_X1
SI	chr3	164978898	165078496	165075964	165076014	-	0.0	0.0	SI_X1
KIF3B	chr20	32277651	32335011	32277663	32277713	+	5.86253339481625	2.7787412646524183	KIF3B_X1
ARHGDIB	chr12	14942031	14961728	14961216	14961266	-	35.7518429978958	5.199744693605232	ARHGDIB_X1
RGS11	chr16	268301	275980	275864	275914	-	0.0	0.0	RGS11_X1
NQO2	chr6	2987987	3019755	3000157	3000207	+	0.0	0.0	NQO2_X1
APBB1	chr11	6395125	6419414	6419061	6419111	-	0.480535524165267	0.5661191071464707	APBB1_X1
TBC1D3I	chr17	36355285	36366216	36264503	36264553	-	0.0	0.0	TBC1D3I_X1
PBK	chr8	27809624	27838082	27837759	27837809	-	50.74455135185221	5.693335051189922	PBK_X1
VPS37A	chr8	17246931	17302427	17247122	17247172	+	0.0	0.0	VPS37A_X1
FAS	chr10	88953813	89029605	88990851	88990901	+	5.38199787065099	2.67400812726314	FAS_X1
GTF3C2	chr2	27325849	27357034	27337258	27337308	-	0.480535524165267	0.5661191071464707	GTF3C2_X1
P4HA1	chr10	73007217	73096974	73096800	73096850	-	110.427063453178	6.799955867405595	P4HA1_X1
ZNF680	chr7	64519878	64563075	64563025	64563075	-	1.05717815316359	1.0406667377404435	ZNF680_X1
NT5DC1	chr6	116100851	116249497	116110851	116110901	+	0.480535524165267	0.5661191071464707	NT5DC1_X1
GPR6	chr6	109978256	109980720	109979112	109979162	+	0.0	0.0	GPR6_X1
CNNM2	chr10	102918294	103090222	102918292	102918342	+	9.80292469297144	3.4333500432785704	CNNM2_X1
LRP4	chr11	46856717	46918642	46889637	46889687	-	0.0	0.0	LRP4_X1
RAET1L	chr6	150018334	150025532	150025482	150025532	-	0.0	0.0	RAET1L_X1
RGL4	chr22	23688136	23699176	23691305	23691355	+	0.0	0.0	RGL4_X1
NUP43	chr6	149724315	149749665	149746502	149746552	-	74.5791133504494	6.23991568873778	NUP43_X1
PSMC5	chr17	63827152	63832026	63827432	63827482	+	322.439336714894	8.33735133992934	PSMC5_X1
HSPA12B	chr20	3732685	3753111	3732710	3732760	+	0.0	0.0	HSPA12B_X1
CSTF2T	chr10	51695486	51699595	51699541	51699591	-	62.9021001132334	5.997791440350081	CSTF2T_X1
SPPL2C	chr17	45844881	45847067	45844834	45844884	+	0.0	0.0	SPPL2C_X1
CLPSL1	chr6	35781019	35793675	35781016	35781066	+	0.0	0.0	CLPSL1_X1
MRO	chr18	50795120	50825402	50819786	50819836	-	0.0	0.0	MRO_X1
TUT1	chr11	62575045	62591637	62591587	62591637	-	0.480535524165267	0.5661191071464707	TUT1_X1
NHLRC3	chr13	39038306	39050109	39038310	39038360	+	9.80292469297144	3.4333500432785704	NHLRC3_X1
TYSND1	chr10	70137981	70146700	70146626	70146676	-	26.813882248421898	4.797733224312777	TYSND1_X1
QRICH1	chr3	49029707	49094363	49093561	49093611	-	10.5717815316359	3.5325390862989074	QRICH1_X1
AP3S1	chr5	115841592	115914081	115895086	115895136	+	0.0	0.0	AP3S1_X1
BSX	chr11	122977570	122981834	122981670	122981720	-	0.0	0.0	BSX_X1
CHD6	chr20	41402083	41618384	41499294	41499317	-	0.480535524165267	0.5661191071464707	CHD6_X1
B3GALT4	chr6	33255053	33256746	33278687	33278737	+	0.0	0.0	B3GALT4_X1
RNF216	chr7	5620047	5781696	5649965	5650015	-	0.0	0.0	RNF216_X1
LRFN2	chr6	40391591	40587364	40587415	40587465	-	0.0	0.0	LRFN2_X1
CCDC28A	chr6	138773769	138793319	138773768	138773818	+	90.052357228571	6.508624462094402	CCDC28A_X1
PRPSAP1	chr17	76309478	76384521	76384471	76384521	-	0.0	0.0	PRPSAP1_X1
OR5T1	chr11	56275639	56276619	56275638	56275688	+	0.0	0.0	OR5T1_X1
PPP1R2B	chr5	156850295	156852528	156850562	156850612	+	0.0	0.0	PPP1R2B_X1
ADH7	chr4	99412261	99435510	99430241	99430291	-	0.0	0.0	ADH7_X1
PTPN18	chr2	130356045	130375405	130358949	130358975	+	0.0	0.0	PTPN18_X1
MET	chr7	116672196	116798377	116758516	116758566	+	0.0	0.0	MET_X1
KCNIP2	chr10	101825974	101843920	101843518	101843568	-	0.0	0.0	KCNIP2_X1
ENDOD1	chr11	95089846	95132645	95089809	95089859	+	92.74335616389652	6.550644541446721	ENDOD1_X1
TAAR5	chr6	132588592	132589741	132589636	132589686	-	0.0	0.0	TAAR5_X1
EPM2AIP1	chr3	36985043	36993131	36992890	36992940	-	1.05717815316359	1.0406667377404435	EPM2AIP1_X1
MAMDC4	chr9	136850943	136860799	136852366	136852416	+	0.0	0.0	MAMDC4_X1
CDK7	chr5	69234793	69277413	69234840	69234890	+	88.80296486574129	6.488691171551908	CDK7_X1
IFNA7	chr9	21201469	21202205	21202155	21202205	-	0.0	0.0	IFNA7_X1
CYLC2	chr9	102995311	103018488	102995310	102995360	+	0.0	0.0	CYLC2_X1
SMG6	chr17	2059839	2303785	2214299	2214349	-	0.0	0.0	SMG6_X1
GJB6	chr13	20221962	20232365	20232345	20232395	-	0.0	0.0	GJB6_X1
RGPD4	chr2	107826892	107892544	107826936	107826986	+	0.0	0.0	RGPD4_X1
OST4	chr2	27070472	27071654	27071600	27071649	-	55.646013698337896	5.823902528956271	OST4_X1
TRA2A	chr7	23504780	23532041	23531973	23532023	-	115.52074000933	6.864442958778947	TRA2A_X1
SNTB1	chr8	120535745	120813273	120812093	120812143	-	9.41849627363922	3.3810751599208	SNTB1_X1
OR5V1	chr6	29355241	29431509	29431917	29431967	-	0.0	0.0	OR5V1_X1
ARHGDIA	chr17	81867721	81871378	81870924	81870974	-	0.0	0.0	ARHGDIA_X1
GATA5	chr20	62463497	62475995	62475929	62475970	-	0.0	0.0	GATA5_X1
ITPRIPL2	chr16	19113932	19121629	19113931	19113981	+	0.480535524165267	0.5661191071464707	ITPRIPL2_X1
UNCX	chr7	1232872	1237326	1232906	1232956	+	0.0	0.0	UNCX_X1
RBM18	chr9	122237622	122264840	122264789	122264839	-	31.2348090707423	5.01054753320564	RBM18_X1
MCPH1	chr8	6406592	6648508	6406642	6406689	+	84.3820380434208	6.415860694578141	MCPH1_X1
CDCA3	chr12	6844793	6851292	6851242	6851292	-	119.220863545403	6.909543477849873	CDCA3_X1
SMC1B	chr22	45344063	45413619	45413569	45413619	-	0.0	0.0	SMC1B_X1
FOXP2	chr7	114086327	114693772	114416285	114416335	+	0.0	0.0	FOXP2_X1
WDFY4	chr10	48684873	48982956	48684875	48684925	+	11.3406383703003	3.6253451206425615	WDFY4_X1
PTTG1IP2	chr7	90469639	90513397	90469786	90469836	+	0.0	0.0	PTTG1IP2_X1
NDUFS1	chr2	206114817	206159509	206159375	206159425	-	64.5839744478118	6.0352714278840365	NDUFS1_X1
USP13	chr3	179653032	179804366	179652754	179652804	+	2.59489183049244	1.84594836093997	USP13_X1
DNAL4	chr22	38778508	38794198	38794148	38794198	-	24.891740151760803	4.694420025129239	DNAL4_X1
SPATA2	chr20	49903391	49915529	49913689	49913739	-	0.0	0.0	SPATA2_X1
AADACL2	chr3	151744454	151770036	151733926	151733976	+	0.0	0.0	AADACL2_X1
OR3A3	chr17	3411370	3424070	3420567	3420617	+	0.0	0.0	OR3A3_X1
KRT1	chr12	52674736	52680407	52680357	52680407	-	0.0	0.0	KRT1_X1
ZNF502	chr3	44712639	44723827	44712642	44712692	+	2.1143563063271698	1.6389340092740403	ZNF502_X1
DMAC1	chr9	7796500	7888380	7800098	7800148	-	0.0	0.0	DMAC1_X1
PTCH1	chr9	95442980	95517057	95516608	95516658	-	0.0	0.0	PTCH1_X1
SEPTIN8	chr5	132750819	132807241	132777211	132777261	-	9.03406785430701	3.3268346942055813	SEPTIN8_X1
SUDS3	chr12	118376555	118418033	118403500	118403517	+	0.0	0.0	SUDS3_X1
SPATA2L	chr16	89696357	89701705	89701655	89701705	-	10.5717815316359	3.5325390862989074	SPATA2L_X1
SLC15A2	chr3	121894401	121944188	121894439	121894489	+	0.0	0.0	SLC15A2_X1
ADO	chr10	62804720	62808479	62804856	62804906	+	9.03406785430701	3.3268346942055813	ADO_X1
FEZF2	chr3	62369681	62374324	62372965	62373015	-	0.0	0.0	FEZF2_X1
ISM1	chr20	13221274	13300651	13221770	13221820	+	0.0	0.0	ISM1_X1
GFRA4	chr20	3659248	3663399	3663353	3663399	-	0.0	0.0	GFRA4_X1
HTRA1	chr10	122458551	122514907	122461524	122461574	+	0.0	0.0	HTRA1_X1
CASP2	chr7	143288215	143307696	143291617	143291667	+	0.0	0.0	CASP2_X1
CACNA2D4	chr12	1791963	1918666	1918616	1918666	-	0.0	0.0	CACNA2D4_X1
SRRM3	chr7	76201896	76287288	76234981	76235031	+	0.0	0.0	SRRM3_X1
FLI1	chr11	128686535	128813267	128692981	128693031	+	0.0	0.0	FLI1_X1
GRHL1	chr2	9951693	10002277	9951692	9951742	+	1.05717815316359	1.0406667377404435	GRHL1_X1
CALM2	chr2	47160084	47176921	47176461	47176511	-	540.698571790758	9.081346476867411	CALM2_X1
GRB7	chr17	39737927	39747291	39737961	39738011	+	0.0	0.0	GRB7_X1
RNF217	chr6	124962437	125092633	124983363	124983413	+	0.0	0.0	RNF217_X1
ATP7B	chr13	51930436	52012125	52011444	52011494	-	0.0	0.0	ATP7B_X1
ST8SIA3	chr18	57352557	57371731	57357151	57357201	+	0.0	0.0	ST8SIA3_X1
INS	chr11	2159779	2161221	2161154	2161204	-	0.0	0.0	INS_X1
TMEM200A	chr6	130366017	130443067	130366280	130366330	+	0.0	0.0	TMEM200A_X1
SLC25A20	chr3	48856926	48898904	48898854	48898904	-	47.47690978752829	5.599225830490664	SLC25A20_X1
RAG1	chr11	36510709	36593156	36568024	36568074	+	0.0	0.0	RAG1_X1
OR13A1	chr10	45302654	45315608	45307788	45307838	-	0.0	0.0	OR13A1_X1
FAM126B	chr2	200973718	201071671	201045507	201045557	-	0.0	0.0	FAM126B_X1
PLEKHO2	chr15	64841883	64868002	64841888	64841938	+	125.90030733129998	6.987551752923842	PLEKHO2_X1
ARL16	chr17	81681187	81683797	81683609	81683659	-	0.480535524165267	0.5661191071464707	ARL16_X1
ARFGAP1	chr20	63272785	63289790	63287655	63287705	+	0.480535524165267	0.5661191071464707	ARFGAP1_X1
SH3BP4	chr2	234952017	235055714	234981623	234981673	+	0.0	0.0	SH3BP4_X1
RNASET2	chr6	166922113	166957191	166956493	166956543	-	261.939914222487	8.038589349151751	RNASET2_X1
USP19	chr3	49108046	49120938	49120781	49120831	-	17.2992788699496	4.193714891415996	USP19_X1
THRA	chr17	40058290	40093867	40058289	40058339	+	0.0	0.0	THRA_X1
DOCK10	chr2	224765090	225042468	224807910	224807933	-	0.480535524165267	0.5661191071464707	DOCK10_X1
OVOL2	chr20	17956979	18059188	18059138	18059188	-	0.0	0.0	OVOL2_X1
FAXC	chr6	99271168	99350062	99284162	99284212	-	0.0	0.0	FAXC_X1
STAC3	chr12	57243453	57251188	57251138	57251188	-	0.0	0.0	STAC3_X1
DPYSL3	chr5	147390808	147510068	147454216	147454266	-	0.0	0.0	DPYSL3_X1
RBX1	chr22	40951347	40973309	40951346	40951396	+	2279.37220532553	11.155053606837964	RBX1_X1
ACACA	chr17	37086456	37411442	37225521	37225571	-	0.0	0.0	ACACA_X1
PPP4R2	chr3	72996803	73069198	72996976	72997026	+	1.05717815316359	1.0406667377404435	PPP4R2_X1
KCNK9	chr8	139600838	139704109	139703006	139703056	-	0.0	0.0	KCNK9_X1
SMDT1	chr22	42079691	42084284	42079690	42079740	+	94.1849627363923	6.572661770320136	SMDT1_X1
FADS2	chr11	61792980	61867354	61827391	61827431	+	0.0	0.0	FADS2_X1
ANTXRL	chr10	46286345	46330207	46286344	46286394	+	0.0	0.0	ANTXRL_X1
HPX	chr11	6431049	6442617	6441016	6441066	-	0.0	0.0	HPX_X1
CHRM2	chr7	136868652	137020255	136868777	136868827	+	0.0	0.0	CHRM2_X1
MTERF2	chr12	106977277	106987160	106987110	106987160	-	61.316332883488	5.961538432804458	MTERF2_X1
DAP	chr5	10679230	10761234	10761086	10761136	-	25.18006146626	4.710396579373128	DAP_X1
TMEM129	chr4	1715952	1721358	1717859	1717909	-	0.0	0.0	TMEM129_X1
ARRDC1	chr9	137605685	137615360	137614164	137614214	+	0.0	0.0	ARRDC1_X1
SHC4	chr15	48823741	48963919	48877439	48877489	-	0.0	0.0	SHC4_X1
PRAME	chr22	22556806	22568466	22559239	22559289	-	6.63139023348068	2.9319459011288083	PRAME_X1
PIP5KL1	chr9	127920881	127930785	127927152	127927186	-	0.0	0.0	PIP5KL1_X1
TBC1D20	chr20	423596	462566	462503	462553	-	52.5705863436802	5.7433691816951535	TBC1D20_X1
ADCY5	chr3	123282296	123449090	123419159	123419209	-	0.0	0.0	ADCY5_X1
CCDC110	chr4	185445182	185471752	185471709	185471759	-	0.0	0.0	CCDC110_X1
CADM1	chr11	115169218	115504957	115504365	115504415	-	0.0	0.0	CADM1_X1
GTF2A1L	chr2	48617798	48733148	48617837	48617887	+	0.0	0.0	GTF2A1L_X1
KARS1	chr16	75627474	75648643	75641563	75641602	-	4.03649840298824	2.3324210566750163	KARS1_X1
URM1	chr9	128371361	128392016	128371318	128371368	+	120.998844984814	6.930723679017239	URM1_X1
BMP6	chr6	7726099	7881728	7726796	7726846	+	0.0	0.0	BMP6_X1
MMRN2	chr10	86935540	86969481	86969431	86969481	-	0.0	0.0	MMRN2_X1
AMN1	chr12	31671142	31729121	31729060	31729110	-	4.03649840298824	2.3324210566750163	AMN1_X1
PACSIN3	chr11	47177522	47186443	47185369	47185419	-	0.0	0.0	PACSIN3_X1
IFNW1	chr9	21140632	21141832	21142095	21142145	-	0.0	0.0	IFNW1_X1
BOLA2B	chr16	30192932	30194306	30193647	30193697	-	0.0	0.0	BOLA2B_X1
TMEM135	chr11	87037844	87328824	87037891	87037941	+	6.24696181414847	2.857376292462053	TMEM135_X1
ITGB5	chr3	124761948	124901418	124848401	124848451	-	0.480535524165267	0.5661191071464707	ITGB5_X1
UCHL1	chr4	41256413	41268455	41256910	41256960	+	2.59489183049244	1.84594836093997	UCHL1_X1
RUNDC1	chr17	42980565	42995142	42980564	42980614	+	30.177630917578696	4.962439401585238	RUNDC1_X1
TPPP	chr5	659862	693352	693345	693395	-	0.0	0.0	TPPP_X1
NAGLU	chr17	42536241	42544449	42536937	42536987	+	0.0	0.0	NAGLU_X1
ENDOU	chr12	47709734	47725567	47725517	47725567	-	0.0	0.0	ENDOU_X1
HPSE	chr4	83292461	83335153	83335103	83335153	-	0.0	0.0	HPSE_X1
GPX3	chr5	151020591	151028988	151020603	151020653	+	0.0	0.0	GPX3_X1
MCCC1	chr3	183015218	183116075	183099500	183099550	-	651.413956558435	9.349643834550264	MCCC1_X1
MCC	chr5	113022099	113488823	113488780	113488830	-	0.0	0.0	MCC_X1
DNAAF1	chr16	84145287	84178767	84175227	84175277	+	0.0	0.0	DNAAF1_X1
SRPRA	chr11	126262938	126269144	126269094	126269144	-	0.0	0.0	SRPRA_X1
ANAPC7	chr12	110372900	110403730	110403680	110403730	-	213.2616656245449	7.743229944780004	ANAPC7_X1
HCN4	chr15	73319859	73368958	73369214	73369264	-	0.0	0.0	HCN4_X1
SH2D3C	chr9	127738317	127778710	127762237	127762287	-	0.0	0.0	SH2D3C_X1
BMT2	chr7	112819147	112939875	112939248	112939298	-	0.480535524165267	0.5661191071464707	BMT2_X1
DNAI1	chr9	34457414	34520988	34458751	34458801	+	0.0	0.0	DNAI1_X1
C9orf131	chr9	35041095	35045986	35041141	35041191	+	0.0	0.0	C9orf131_X1
SLX1B	chr16	29454501	29458219	29455104	29455154	+	0.0	0.0	SLX1B_X1
CLTCL1	chr22	19179473	19291719	19226270	19226320	-	0.0	0.0	CLTCL1_X1
MED11	chr17	4731428	4733608	4731427	4731477	+	111.09981318701	6.80864006368614	MED11_X1
ASPRV1	chr2	69960089	69961631	69962215	69962265	-	0.0	0.0	ASPRV1_X1
STK31	chr7	23710203	23832513	23710325	23710375	+	0.0	0.0	STK31_X1
CRYZL1	chr21	33589341	33643926	33603403	33603448	-	0.0	0.0	CRYZL1_X1
CPSF7	chr11	61402641	61430031	61429938	61429988	-	277.94174717719	8.123820057946263	CPSF7_X1
PKDCC	chr2	42048021	42058517	42054956	42055006	+	0.0	0.0	PKDCC_X1
ADAD1	chr4	122378966	122429802	122379442	122379492	+	0.0	0.0	ADAD1_X1
ATP2A2	chr12	110280756	110351093	110329398	110329448	+	0.0	0.0	ATP2A2_X1
SMIM28	chr6	138377905	138383486	138377904	138377954	+	0.0	0.0	SMIM28_X1
P2RY12	chr3	151336843	151384753	151340803	151340853	-	0.0	0.0	P2RY12_X1
PALB2	chr16	23603160	23641310	23637885	23637935	-	0.0	0.0	PALB2_X1
CAPZA2	chr7	116811070	116922049	116862586	116862636	+	142.238515152919	7.162275658277555	CAPZA2_X1
CSNK1A1L	chr13	37103259	37105664	37105614	37105664	-	0.0	0.0	CSNK1A1L_X1
SRGN	chr10	69088103	69104805	69088105	69088155	+	176.933179997651	7.475191751277226	SRGN_X1
BPI	chr20	38304150	38337505	38304122	38304172	+	0.0	0.0	BPI_X1
IQCH	chr15	67254786	67502260	67357344	67357394	+	0.0	0.0	IQCH_X1
OR5A2	chr11	59416969	59426413	59422926	59422976	-	0.0	0.0	OR5A2_X1
UIMC1	chr5	176905005	177022633	177022583	177022633	-	2.1143563063271698	1.6389340092740403	UIMC1_X1
NLRP1	chr17	5499427	5619424	5584481	5584531	-	41.6143763927121	5.413268315280417	NLRP1_X1
DYNC2LI1	chr2	43774039	43810010	43774038	43774088	+	47.90939175927711	5.61203961821506	DYNC2LI1_X1
NUS1	chr6	117675469	117710727	117675501	117675551	+	0.0	0.0	NUS1_X1
MTNR1A	chr4	186533655	186555567	186555517	186555567	-	0.0	0.0	MTNR1A_X1
DAXX	chr6	33318558	33323016	33322907	33322957	-	95.2421408895558	6.588596830256628	DAXX_X1
ONECUT2	chr18	57435374	57491298	57435684	57435734	+	0.0	0.0	ONECUT2_X1
CLCN1	chr7	143316111	143352083	143316125	143316175	+	0.0	0.0	CLCN1_X1
SS18L2	chr3	42581840	42596934	42591273	42591323	+	0.0	0.0	SS18L2_X1
TMEM192	chr4	165070608	165208549	165208499	165208549	-	0.0	0.0	TMEM192_X1
L3MBTL2	chr22	41205282	41231271	41205281	41205331	+	81.5949320032623	6.367981355974287	L3MBTL2_X1
IL20RA	chr6	136999971	137045180	137044914	137044964	-	0.0	0.0	IL20RA_X1
CCDC171	chr9	15553043	16061663	15777767	15777817	+	0.0	0.0	CCDC171_X1
IL9	chr5	135892246	135895841	135895777	135895827	-	0.0	0.0	IL9_X1
EDIL3	chr5	83940554	84384880	84078778	84078828	-	0.0	0.0	EDIL3_X1
UBE2V2	chr8	48008415	48064708	48043032	48043082	+	0.0	0.0	UBE2V2_X1
MMP24OS	chr20	35201745	35278131	35278081	35278131	-	24.411204627595502	4.66739286339411	MMP24OS_X1
IRF7	chr11	612553	615983	615678	615728	-	69.4854367942975	6.13925330367548	IRF7_X1
CIAO1	chr2	96266159	96274173	96266245	96266295	+	121.671594718645	6.938657413488093	CIAO1_X1
ITPR2	chr12	26335352	26833194	26725963	26726013	-	0.0	0.0	ITPR2_X1
ZFP90	chr16	68530090	68576072	68539212	68539262	+	0.0	0.0	ZFP90_X1
DTX3L	chr3	122564338	122575203	122564426	122564476	+	9.80292469297144	3.4333500432785704	DTX3L_X1
TMEM80	chr11	695591	705028	695590	695640	+	1.05717815316359	1.0406667377404435	TMEM80_X1
CBLN1	chr16	49277917	49281838	49281432	49281482	-	0.0	0.0	CBLN1_X1
TBC1D3	chr17	38181659	38192555	38192491	38192541	-	0.0	0.0	TBC1D3_X1
UNC93B1	chr11	67991100	68004982	68004073	68004123	-	20.7591346439395	4.443549276947952	UNC93B1_X1
SH2D7	chr15	78077808	78104370	78092584	78092634	+	0.0	0.0	SH2D7_X1
MEIG1	chr10	14959388	14988050	14959509	14959557	+	0.0	0.0	MEIG1_X1
ALG2	chr9	99216425	99221942	99221906	99221956	-	85.1508948820852	6.428793877237077	ALG2_X1
TMEM126A	chr11	85647967	85656547	85647966	85648016	+	292.165598692482	8.195572011160584	TMEM126A_X1
VSTM4	chr10	49014236	49115522	49115459	49115509	-	0.0	0.0	VSTM4_X1
PDE5A	chr4	119494397	119628804	119519592	119519642	-	0.0	0.0	PDE5A_X1
ARHGEF25	chr12	57610180	57617245	57611912	57611962	+	0.480535524165267	0.5661191071464707	ARHGEF25_X1
C9orf43	chr9	113410054	113429690	113410053	113410103	+	0.0	0.0	C9orf43_X1
TRH	chr3	129974688	129977935	129974687	129974737	+	0.0	0.0	TRH_X1
MRAP	chr21	32291813	32314784	32298849	32298899	+	0.0	0.0	MRAP_X1
SMIM31	chr4	164754064	164803795	164754063	164754113	+	0.0	0.0	SMIM31_X1
ZNF510	chr9	96754553	96778129	96778079	96778129	-	29.697095393413505	4.9400302469073845	ZNF510_X1
CARS1	chr11	3000922	3057613	3040038	3040088	-	0.0	0.0	CARS1_X1
CILP	chr15	65194760	65211473	65211438	65211488	-	0.0	0.0	CILP_X1
CMC2	chr16	80966448	81020270	80997322	80997372	-	1.05717815316359	1.0406667377404435	CMC2_X1
SLIT3	chr5	168661733	169301139	169300696	169300746	-	0.0	0.0	SLIT3_X1
TRIM38	chr6	25962802	25991231	25962801	25962851	+	630.847036124162	9.303431528342935	TRIM38_X1
DNAJC5	chr20	63895126	63936031	63895181	63895231	+	0.480535524165267	0.5661191071464707	DNAJC5_X1
ABCA3	chr16	2275881	2340746	2340696	2340746	-	0.480535524165267	0.5661191071464707	ABCA3_X1
CCDC43	chr17	44673069	44689779	44689729	44689779	-	43.7287326990393	5.483129977873019	CCDC43_X1
RAD52	chr12	911736	990053	949632	949682	-	38.250627723555205	5.294643821666621	RAD52_X1
F2	chr11	46719196	46739506	46719195	46719245	+	0.0	0.0	F2_X1
DLEC1	chr3	38039205	38124025	38062745	38062795	+	0.0	0.0	DLEC1_X1
ZNF786	chr7	149069641	149090782	149090689	149090739	-	31.523130385241497	5.023394219886802	ZNF786_X1
TRIM77	chr11	89710299	89717872	89710298	89710348	+	0.0	0.0	TRIM77_X1
LSG1	chr3	194640791	194672463	194672427	194672477	-	4.03649840298824	2.3324210566750163	LSG1_X1
STAT2	chr12	56341597	56360167	56360087	56360137	-	138.874766483762	7.127991912447352	STAT2_X1
CERKL	chr2	181535041	181680665	181657057	181657107	-	0.0	0.0	CERKL_X1
NT5M	chr17	17303335	17347663	17303365	17303415	+	1.63382078216191	1.3971571810223802	NT5M_X1
CENPM	chr22	41938737	41947152	41946679	41946729	-	24.411204627595502	4.66739286339411	CENPM_X1
ZYX	chr7	143381295	143391111	143381360	143381410	+	1.05717815316359	1.0406667377404435	ZYX_X1
H4C5	chr6	26204610	26205021	26204551	26204601	+	0.480535524165267	0.5661191071464707	H4C5_X1
