gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand
CADM1	chr11	115169218	115504957	115504365	115504415	-
GTF2A1L	chr2	48617798	48733148	48617837	48617887	+
KARS1	chr16	75627474	75648643	75641563	75641602	-
URM1	chr9	128371361	128392016	128371318	128371368	+
BMP6	chr6	7726099	7881728	7726796	7726846	+
MMRN2	chr10	86935540	86969481	86969431	86969481	-
AMN1	chr12	31671142	31729121	31729060	31729110	-
PACSIN3	chr11	47177522	47186443	47185369	47185419	-
IFNW1	chr9	21140632	21141832	21142095	21142145	-
BOLA2B	chr16	30192932	30194306	30193647	30193697	-
TMEM135	chr11	87037844	87328824	87037891	87037941	+
ITGB5	chr3	124761948	124901418	124848401	124848451	-
UCHL1	chr4	41256413	41268455	41256910	41256960	+
RUNDC1	chr17	42980565	42995142	42980564	42980614	+
TPPP	chr5	659862	693352	693345	693395	-
NAGLU	chr17	42536241	42544449	42536937	42536987	+
ENDOU	chr12	47709734	47725567	47725517	47725567	-
HPSE	chr4	83292461	83335153	83335103	83335153	-
GPX3	chr5	151020591	151028988	151020603	151020653	+
MCCC1	chr3	183015218	183116075	183099500	183099550	-
MCC	chr5	113022099	113488823	113488780	113488830	-
DNAAF1	chr16	84145287	84178767	84175227	84175277	+
SRPRA	chr11	126262938	126269144	126269094	126269144	-
ANAPC7	chr12	110372900	110403730	110403680	110403730	-
HCN4	chr15	73319859	73368958	73369214	73369264	-
SH2D3C	chr9	127738317	127778710	127762237	127762287	-
BMT2	chr7	112819147	112939875	112939248	112939298	-
DNAI1	chr9	34457414	34520988	34458751	34458801	+
C9orf131	chr9	35041095	35045986	35041141	35041191	+
SLX1B	chr16	29454501	29458219	29455104	29455154	+
CLTCL1	chr22	19179473	19291719	19226270	19226320	-
MED11	chr17	4731428	4733608	4731427	4731477	+
ASPRV1	chr2	69960089	69961631	69962215	69962265	-
STK31	chr7	23710203	23832513	23710325	23710375	+
CRYZL1	chr21	33589341	33643926	33603403	33603448	-
CPSF7	chr11	61402641	61430031	61429938	61429988	-
PKDCC	chr2	42048021	42058517	42054956	42055006	+
ADAD1	chr4	122378966	122429802	122379442	122379492	+
ATP2A2	chr12	110280756	110351093	110329398	110329448	+
SMIM28	chr6	138377905	138383486	138377904	138377954	+
P2RY12	chr3	151336843	151384753	151340803	151340853	-
PALB2	chr16	23603160	23641310	23637885	23637935	-
CAPZA2	chr7	116811070	116922049	116862586	116862636	+
CSNK1A1L	chr13	37103259	37105664	37105614	37105664	-
SRGN	chr10	69088103	69104805	69088105	69088155	+
BPI	chr20	38304150	38337505	38304122	38304172	+
IQCH	chr15	67254786	67502260	67357344	67357394	+
OR5A2	chr11	59416969	59426413	59422926	59422976	-
UIMC1	chr5	176905005	177022633	177022583	177022633	-
NLRP1	chr17	5499427	5619424	5584481	5584531	-
DYNC2LI1	chr2	43774039	43810010	43774038	43774088	+
NUS1	chr6	117675469	117710727	117675501	117675551	+
MTNR1A	chr4	186533655	186555567	186555517	186555567	-
DAXX	chr6	33318558	33323016	33322907	33322957	-
ONECUT2	chr18	57435374	57491298	57435684	57435734	+
CLCN1	chr7	143316111	143352083	143316125	143316175	+
SS18L2	chr3	42581840	42596934	42591273	42591323	+
TMEM192	chr4	165070608	165208549	165208499	165208549	-
L3MBTL2	chr22	41205282	41231271	41205281	41205331	+
IL20RA	chr6	136999971	137045180	137044914	137044964	-
CCDC171	chr9	15553043	16061663	15777767	15777817	+
IL9	chr5	135892246	135895841	135895777	135895827	-
EDIL3	chr5	83940554	84384880	84078778	84078828	-
UBE2V2	chr8	48008415	48064708	48043032	48043082	+
MMP24OS	chr20	35201745	35278131	35278081	35278131	-
IRF7	chr11	612553	615983	615678	615728	-
CIAO1	chr2	96266159	96274173	96266245	96266295	+
ITPR2	chr12	26335352	26833194	26725963	26726013	-
ZFP90	chr16	68530090	68576072	68539212	68539262	+
DTX3L	chr3	122564338	122575203	122564426	122564476	+
TMEM80	chr11	695591	705028	695590	695640	+
CBLN1	chr16	49277917	49281838	49281432	49281482	-
TBC1D3	chr17	38181659	38192555	38192491	38192541	-
UNC93B1	chr11	67991100	68004982	68004073	68004123	-
SH2D7	chr15	78077808	78104370	78092584	78092634	+
MEIG1	chr10	14959388	14988050	14959509	14959557	+
ALG2	chr9	99216425	99221942	99221906	99221956	-
TMEM126A	chr11	85647967	85656547	85647966	85648016	+
VSTM4	chr10	49014236	49115522	49115459	49115509	-
PDE5A	chr4	119494397	119628804	119519592	119519642	-
ARHGEF25	chr12	57610180	57617245	57611912	57611962	+
C9orf43	chr9	113410054	113429690	113410053	113410103	+
TRH	chr3	129974688	129977935	129974687	129974737	+
MRAP	chr21	32291813	32314784	32298849	32298899	+
SMIM31	chr4	164754064	164803795	164754063	164754113	+
ZNF510	chr9	96754553	96778129	96778079	96778129	-
CARS1	chr11	3000922	3057613	3040038	3040088	-
CILP	chr15	65194760	65211473	65211438	65211488	-
CMC2	chr16	80966448	81020270	80997322	80997372	-
SLIT3	chr5	168661733	169301139	169300696	169300746	-
TRIM38	chr6	25962802	25991231	25962801	25962851	+
DNAJC5	chr20	63895126	63936031	63895181	63895231	+
ABCA3	chr16	2275881	2340746	2340696	2340746	-
CCDC43	chr17	44673069	44689779	44689729	44689779	-
RAD52	chr12	911736	990053	949632	949682	-
F2	chr11	46719196	46739506	46719195	46719245	+
DLEC1	chr3	38039205	38124025	38062745	38062795	+
ZNF786	chr7	149069641	149090782	149090689	149090739	-
TRIM77	chr11	89710299	89717872	89710298	89710348	+
LSG1	chr3	194640791	194672463	194672427	194672477	-
STAT2	chr12	56341597	56360167	56360087	56360137	-
CERKL	chr2	181535041	181680665	181657057	181657107	-
NT5M	chr17	17303335	17347663	17303365	17303415	+
CENPM	chr22	41938737	41947152	41946679	41946729	-
ZYX	chr7	143381295	143391111	143381360	143381410	+
H4C5	chr6	26204610	26205021	26204551	26204601	+
NOP16	chr5	176383946	176388927	176388548	176388598	-
ADGRV1	chr5	90529344	91164437	90672553	90672603	+
ITGB1BP1	chr2	9403475	9423528	9408249	9408299	-
GLYCTK	chr3	52287089	52295257	52290073	52290123	+
CYP2C8	chr10	95036772	95069497	95069447	95069497	-
CTDSPL	chr3	37861880	37984469	37964636	37964672	+
BCL7B	chr7	73536356	73557690	73557604	73557654	-
FAM234A	chr16	234521	272183	234545	234595	+
CYP4V2	chr4	186191567	186213463	186191519	186191569	+
CGREF1	chr2	27098889	27119128	27119065	27119115	-
SFTPA2	chr10	79555852	79560407	79560363	79560395	-
CBLL1	chr7	107743949	107761667	107744141	107744176	+
EIF4A3	chr17	80134369	80147151	80140426	80140476	-
COLQ	chr3	15450133	15521751	15450829	15450879	-
DTYMK	chr2	241675747	241686944	241686894	241686944	-
POU3F2	chr6	98834574	98839458	98834591	98834641	+
ARHGEF3	chr3	56727418	57079329	56977325	56977375	-
DGKZ	chr11	46332905	46380554	46347587	46347637	+
IFNA6	chr9	21349835	21351378	21351328	21351378	-
TWF2	chr3	52228612	52246788	52239092	52239142	-
DDX46	chr5	134758771	134855133	134782069	134782086	+
DRAP1	chr11	65919274	65921563	65919256	65919306	+
ARMC9	chr2	231198546	231376848	231198642	231198692	+
ZC2HC1A	chr8	78666089	78719765	78666046	78666096	+
ADAMTS18	chr16	77247813	77435034	77431583	77431633	-
DEFB107B	chr8	7487822	7501287	7495845	7495895	+
GFM1	chr3	158644527	158695581	158644704	158644754	+
OC90	chr8	132024216	132059382	132059340	132059380	-
UGT2B28	chr4	69280475	69295050	69280498	69280548	+
IDNK	chr9	83623049	83644130	83623165	83623215	+
MAP1LC3B2	chr12	116548105	116576606	116548105	116548155	+
SRPK2	chr7	105110704	105399308	105133018	105133068	-
FAM91A1	chr8	123768439	123815452	123768456	123768506	+
STXBP5L	chr3	120908072	121424761	120908288	120908334	+
CYBC1	chr17	82442586	82450829	82450718	82450768	-
XPO5	chr6	43522334	43576038	43559012	43559062	-
DYRK4	chr12	4562208	4615302	4599624	4599674	+
DUSP19	chr2	183078559	183100008	183078988	183079038	+
TEX26	chr13	30932656	30975500	30932702	30932752	+
PAK1	chr11	77322017	77474635	77356248	77356298	-
TREML4	chr6	41228339	41238882	41228338	41228388	+
TIMM23B	chr10	49942049	49974850	49942032	49942082	+
SEC24A	chr5	134648785	134727909	134648788	134648838	+
DUSP22	chr6	291630	351355	292476	292526	+
FAM13C	chr10	59246130	59363181	59362472	59362522	-
USF3	chr3	113648385	113696646	113674846	113674896	-
TBC1D5	chr3	17157162	18444817	17742594	17742644	-
LGALS1	chr22	37675636	37679802	37676124	37676174	+
DHX35	chr20	38962299	39039723	39030359	39030409	+
TAC4	chr17	49838300	49848069	49847967	49848017	-
ATG16L1	chr2	233210051	233295674	233251669	233251719	+
ADAMTS16	chr5	5140330	5320304	5235036	5235086	+
PFDN1	chr5	140245035	140303113	140281485	140281535	-
MLYCD	chr16	83899115	83951445	83899125	83899175	+
MAP4K3	chr2	39249266	39437301	39437097	39437147	-
REG3A	chr2	79157003	79159753	79159727	79159749	-
FBXO9	chr6	53051991	53100873	53092810	53092824	+
TAX1BP1	chr7	27739331	27844564	27739330	27739380	+
SPATS2L	chr2	200305881	200482264	200306158	200306208	+
CTNNAL1	chr9	108942569	109013522	109013479	109013529	-
SNX30	chr9	112750760	112881671	112838584	112838634	+
C17orf113	chr17	42038232	42050601	42043067	42043117	-
RPS20	chr8	56067254	56074510	56074459	56074509	-
KHDRBS2	chr6	61679961	62286225	62286177	62286227	-
HAGHL	chr16	726936	735525	728513	728563	+
CNBP	chr3	129167827	129183922	129183860	129183910	-
HECTD4	chr12	112160188	112382439	112170135	112170185	-
OR52N2	chr11	5808924	5821483	5820313	5820363	+
NTN1	chr17	9021510	9244000	9162934	9162984	+
GMCL2	chr5	178184505	178187371	178187249	178187299	-
RPL34	chr4	108620569	108630412	108620589	108620639	+
DNAJA2	chr16	46955362	46973674	46973614	46973664	-
CAMK2G	chr10	73812501	73874591	73847987	73848018	-
LSM5	chr7	32485338	32495283	32490813	32490863	-
ETF1	chr5	138506095	138543236	138541636	138541686	-
KRT39	chr17	40958544	40967019	40960647	40960697	-
COLEC12	chr18	316737	500722	500672	500722	-
HTR2A	chr13	46831546	46897076	46895763	46895813	-
NR3C1	chr5	143277931	143435512	143434722	143434772	-
BATF2	chr11	64987945	64997018	64996968	64997018	-
COMMD3	chr10	22316386	22320306	22316385	22316435	+
ZCCHC3	chr20	297570	300321	296967	297017	+
LYG1	chr2	99284238	99304742	99304692	99304742	-
PAPPA	chr9	116153791	116402321	116153803	116153853	+
CD59	chr11	33703010	33736479	33722677	33722727	-
RABGEF1	chr7	66682164	66811464	66682163	66682213	+
STH	chr17	46098193	46098637	45999249	45999299	+
SEC63	chr6	107867756	107958208	107958139	107958189	-
OR8G5	chr11	124256376	124266224	124264826	124264876	+
ARSA	chr22	50622754	50628173	50623276	50623326	-
CAPN1	chr11	65180566	65212006	65181193	65181243	+
RASGEF1B	chr4	81426393	82044244	81471865	81471915	-
GAB1	chr4	143336762	143474568	143438256	143438306	+
GLT6D1	chr9	135623648	135639540	135639490	135639540	-
ST20	chr15	79898840	79923702	79907986	79908036	-
MPHOSPH9	chr12	123152320	123244014	123233188	123233238	-
SUMO1	chr2	202206182	202238599	202238558	202238608	-
GVQW3	chr11	76381303	76414619	76381312	76381362	+
CLSTN2	chr3	139935185	140577397	139935184	139935234	+
SGMS1	chr10	50305586	50625163	50343476	50343526	-
NDUFAF4	chr6	96889315	96897891	96896868	96896918	-
CD302	chr2	159768628	159798255	159798192	159798242	-
ADH1A	chr4	99276369	99291003	99290953	99291003	-
TRABD	chr22	50185913	50199598	50185914	50185964	+
EIF3E	chr8	108162787	108443496	108248715	108248765	-
IFIT5	chr10	89414568	89421605	89414585	89414635	+
MTMR12	chr5	32226994	32312987	32312937	32312987	-
JCAD	chr10	30012803	30115494	30013868	30013918	-
PF4V1	chr4	73853296	73854483	73853188	73853238	+
C15orf62	chr15	40769980	40772449	40770079	40770129	+
WEE1	chr11	9573670	9593457	9577784	9577834	+
PELI3	chr11	66466327	66477337	66466923	66466973	+
PPP1R11	chr6	30057093	30060717	30066708	30066758	+
ISL1	chr5	51383448	51394730	51383671	51383699	+
UROS	chr10	125784980	125823258	125823198	125823248	-
UNC5A	chr5	176810519	176880898	176810476	176810526	+
ZNF514	chr2	95145000	95165413	95159287	95159337	-
MARCHF1	chr4	163524298	164384050	164383985	164384035	-
TPI1	chr12	6867119	6870948	6868099	6868149	+
LAMB2	chr3	49121114	49133118	49123727	49123754	-
CH25H	chr10	89205629	89207317	89207264	89207314	-
LRP2BP	chr4	185363872	185395924	185395849	185395899	-
THEMIS	chr6	127708072	127918631	127918547	127918597	-
C1QTNF5	chr11	119338942	119340940	119340833	119340883	-
SPATS2	chr12	49366584	49527425	49367474	49367524	+
EXOSC8	chr13	36998816	37025881	37000782	37000822	+
NDST1	chr5	150485818	150558211	150485817	150485867	+
ZDHHC7	chr16	84974175	85011535	84982067	84982117	-
OR2AG1	chr11	6783020	6791558	6785016	6785066	+
TBXT	chr6	166157656	166168700	166168650	166168700	-
QRFPR	chr4	121328642	121381059	121380629	121380679	-
DENR	chr12	122752824	122771064	122752826	122752876	+
PHLDB2	chr3	111732497	111976517	111732496	111732546	+
USP17L5	chr4	9339403	9340995	9339402	9339452	+
SKIL	chr3	170357678	170396835	170361211	170361261	+
SERPINB4	chr18	63637259	63644256	63644248	63644298	-
NEDD9	chr6	11183298	11382348	11382298	11382348	-
NCK2	chr2	105744912	105894274	105744896	105744946	+
IL1R2	chr2	101991960	102028544	102023389	102023439	+
COX18	chr4	73052362	73069755	73069705	73069755	-
SLC22A14	chr3	38282294	38318575	38305935	38305985	+
CLDN24	chr4	183321764	183322426	183322376	183322426	-
POLA2	chr11	65261920	65305589	65294177	65294227	+
LRRCC1	chr8	85107215	85146080	85107214	85107264	+
PXMP2	chr12	132687587	132704985	132690313	132690363	+
NR1D1	chr17	40092793	40100589	40100675	40100725	-
C6orf118	chr6	165279664	165309605	165281972	165282022	-
THOC3	chr5	175917873	176034680	175961363	175961413	-
IFITM3	chr11	319676	329475	327487	327537	-
VCL	chr10	73995193	74121363	73995192	73995231	+
PTK7	chr6	43076307	43161719	43076306	43076356	+
TRPM1	chr15	31152534	31312750	31068042	31068092	-
DYNC1I2	chr2	171687409	171750158	171687408	171687458	+
FERMT3	chr11	64206678	64223891	64220436	64220486	+
CCN2	chr6	131948176	131951372	131951323	131951373	-
COX11	chr17	54951902	54968703	54961118	54961139	-
RSL1D1	chr16	11833850	11851580	11846517	11846567	-
VIT	chr2	36696690	36814794	36696804	36696854	+
PODXL2	chr3	127629185	127672802	127629180	127629230	+
PRUNE2	chr9	76611376	76906114	76652499	76652549	-
ZBBX	chr3	167239843	167407874	167379744	167379794	-
ATXN7	chr3	63863155	64003462	63911928	63911978	+
HECW1	chr7	43112629	43566001	43112628	43112678	+
UCP3	chr11	74000277	74009085	74009035	74009085	-
HLA-E	chr6	30479706	30484444	30489466	30489516	+
SNX19	chr11	130866250	130916479	130910321	130910371	-
MAK	chr6	10762723	10838553	10838505	10838555	-
PTPRR	chr12	70638073	70920738	70754541	70754591	-
EVPLL	chr17	18387383	18399252	18386403	18386453	+
MOB4	chr2	197515571	197553699	197516046	197516096	+
RTN4IP1	chr6	106570771	106629498	106572361	106572411	-
STRIP2	chr7	129434432	129488399	129434432	129434482	+
NPY	chr7	24284188	24291862	24284162	24284212	+
RANBP9	chr6	13621498	13711835	13711514	13711564	-
VPREB3	chr22	23752743	23754425	23754418	23754468	-
SCRN1	chr7	29920104	29990289	29990155	29990205	-
VPS41	chr7	38722974	38932394	38909179	38909229	-
TAS2R13	chr12	10907926	10909562	10909512	10909562	-
RCE1	chr11	66842835	66846552	66843722	66843772	+
TCEA2	chr20	64049836	64072347	64064325	64064352	+
KCTD18	chr2	200488958	200519784	200510018	200510068	-
SCN3B	chr11	123629187	123655244	123641074	123641124	-
MATR3	chr5	139293674	139331677	139315750	139315800	+
FAM241B	chr10	69630247	69633596	69630250	69630300	+
FJX1	chr11	35618460	35620865	35619687	35619737	+
NPAT	chr11	108157215	108222638	108170151	108170201	-
SLC39A7	chr6	33122069	33126063	33200444	33200494	+
RNF170	chr8	42849637	42897290	42896548	42896598	-
CEP97	chr3	101724593	101770562	101727469	101727519	+
MSGN1	chr2	17816460	17817798	17816495	17816545	+
DCUN1D2	chr13	113455819	113490951	113483946	113483996	-
FBXL8	chr16	67159932	67164570	67161688	67161738	+
DEFB113	chr6	49968677	49969625	49969575	49969625	-
DUSP4	chr8	29333064	29350684	29350618	29350668	-
STARD4	chr5	111496033	111512590	111512512	111512562	-
MYT1L	chr2	1789113	2331664	1842857	1842907	-
CAV2	chr7	116287380	116508541	116289912	116289962	+
ATOX1	chr5	151742316	151772532	151758606	151758656	-
CSE1L	chr20	49046246	49096960	49090762	49090812	+
PRSS23	chr11	86791059	86952910	86800520	86800570	+
ITGAL	chr16	30472658	30523567	30474000	30474050	+
CRIM1	chr2	36355778	36551135	36356470	36356520	+
LALBA	chr12	48567684	48570066	48570016	48570066	-
TFPI	chr2	187464230	187565760	187519810	187519860	-
SPATA31D4	chr9	81928428	81934998	81928513	81928563	+
RESF1	chr12	31959370	31993107	31959407	31959457	+
IQCF1	chr3	51894876	51903353	51903285	51903335	-
SFSWAP	chr12	131711081	131799738	131711080	131711130	+
FAM149B1	chr10	73168119	73244504	73208691	73208741	+
JADE2	chr5	134524312	134583230	134526636	134526686	+
